अगस्ति,Agasti
अदुवा,Aduwa
अमात्य,Amatya
अवा,Awa
अवाल,Awal
अवाले,Awale
अागञ्जा,Aaganja
अाचाजु,Aachaju
अाचार्जु,Aacharju
अाचार्य,Aacharya
अानन्ददेव,Aanandadev
आलुबञ्जार,Aalubanjar
उखा,Ukha
उजांथाछें,Ujanthachhen
उदास,Udas
उपाध्याय,Upadhaya
उराय्,Uraye
उलक,Ulak
कंसाकार,Kansakar
कःछें,Kachhen
कःमि,Kami
कःसिध्वं,Kasidhwon
कक्षपति,Kakshapati
कछिपति,Kachhipati
कताः,Kataa
कतिला,Katila
कपतग्वः,Kapatagwo
कपाली,Kapali
कब्बु,Kabbu
कय्‌ति,Kayti
कय्‌ति,Kayti
कर्माचार्य,Karmacharya
कवाङ्,Kawang
कवे,Kawe
कसजु,Kasaju
कसपाल,Kaspal
कसलवट,Kasalawat
कसाः,Kasaa
कस्ति,Kasti
कांद्यः,Kandya
काः,Kaa
काकि,Kaki
काचि,Kachi
कायस्थ,Kayastha
कारञ्जित,Karanjit
कालु,Kalu
कासि,Kasi
कासिछ्‌वा,Kasichhwa
कासुला,Kasula
किजु,Kiju
किबाछें,Kibachhen
किमिसुकु,Kimisuku
किमिसुकु वायेथा,Kimisuku Wayetha
किलंनः,Kilanna
किलम्बु,Kilambu
किलाः,Kilaa
किलाछें,Kilachhen
किवानायो,Kiwanayo
किसि,Kisi
किसिकिइ,Kisikiee
किसिजु,Kisiju
कुचुमनि,Kuchumani
कुटु,Kutu
कुटुव,Kutuwo
कुथु,Kuthu
कुम्पाखा,Kumpakha
कुम्ह,Kumha
कुम्हाः,Kumhaa
कुलु,Kulu
कुलुजु,Kuluju
कुश्ले,Kushle
कुसाथा,Kusatha
कुसि,Kusi
कुस्मा,Kusma
कै,Kai
कैतिजु,Kaitiju
कोख,Kokha
कोङा,Konga
कोजु,Koju
कोण्डा,Konda
कोलाछिपति,Kolachhipati
कौ,Kau
कौले,Kaule
क्यातु,Kyatu
क्व,Kwo
क्वय्‌नः,Kwayna
खड्गी,Khadgi
खत्री,Khatri
खपे,Khape
खमू,Khamoo
खम्बु,Khambu
खयगुलि,Khayaguli
खयमली,Khayemali
खयरगोलि,Khayaegoli
खर्बुजा,Kharbuja
खाइजु,Khaiju
खाईतु,Khaitu
खागि,Khagi
खाताखो,Khatakho
खिंजु,Khinju
